speaker,line,season,episode,scene_count,line_count
linda,i seem to recall you telling me that the boys were training monkeys to juggle bicycles and when i come home there was a stunning lack of monkeys.,season_1,1,23,78
candace,i still don't know how they cleaned that up so fast.,season_1,1,23,79
linda,so what's the emergency this time?,season_1,1,23,80
candace,they're building a roller coaster!,season_1,1,23,81
linda,candace seriously isn't phineas a little young to be a roller coaster engineer?,season_1,1,23,82
factory manager,aren't you a little young to be a roller coaster engineer?,season_1,1,24,84
phineas,yes yes i am.,season_1,1,24,85
factory manager,well i must say i'm very impressed the forms all seems to be in order although i'd never seen them filled out in crayon before. so if there's anything i can get you anything at all just let me know.,season_1,1,24,86
phineas,do you think we could borrow one of those gadgets?,season_1,1,24,87
phineas,now this is the life.,season_1,1,26,90
doofenshmirtz,ah perry the platypus what an unexpected surprise. and by unexpected i mean: completely expected!,season_1,1,28,93
doofenshmirtz,i doctor heinz doofenshmirtz have covered the entire eastern seaboard in tin foil and when i put my giant magnet next to my genius magnetism magnifier i will pull the east in westerly direction thereby reversing the rotation of the earth. you may ask yourself why would he do this? what could he possibly have to gain? well let me just answer that question i haven't really worked on all the bugs yet. i mean tin foil alone costs a lot.,season_1,1,29,95
candace,but mom i'd tell you they're building it and it's huge!,season_1,1,30,97
candace,phineas and ferb present the coolest coaster ever now open? mom! ,season_1,1,31,99
pedro,phineas and ferb got a roller coaster? you think we get a discount if we bring the flier?,season_1,1,31,100
another kid,maybe we better take it.,season_1,1,31,101
candace,there look look look see? i told you i'm not crazy i told you!,season_1,1,32,103
linda,and you're not crazy because...?,season_1,1,32,104
linda,i see your point candace. no crazy person would scream at a post like that. i'll be at the dairy section if you wanna come yell at some cheese or anything. ,season_1,1,33,106
phineas,ladies and gentlemen boys and girls children of all ages! may i present to you a spectacle most of the morning in the making: the coolest...coaster...ever!!!,season_1,1,34,108
phineas,so who wants to go first?,season_1,1,35,110
phineas,to fasten insert the tab into the metal buckle. to release just pull back on the -- oops.,season_1,1,37,113
phineas,well you get the picture. well that's about it enjoy the ride.,season_1,1,38,115
phineas,you guys all signed the waivers right?,season_1,1,39,117
phineas,relax they're just rubber!,season_1,1,41,120
phineas,hey look there comes the ah-ah-ah-ah!,season_1,1,42,122
doofenshmirtz,...i really make of my money back i-i-i want a really spacey real estate and sell it again.,season_1,1,44,125
doofenshmirtz,ha you missed!,season_1,1,45,127
doofenshmirtz,aaaoow!! ow ow ow aaooww!,season_1,1,46,129
doofenshmirtz,now you are too late. quake in your boots and watch helplessly as the unimaginable electromagnetic forces pull the eastern seaboard thereby reversing the rotation of the--,season_1,1,47,131
doofenshmirtz,well...that didn't work.,season_1,1,48,133
doofenshmirtz,and now we have a two ton ball of tin foil traveling 200 miles per hour directly at us! quickly we must separate the magnet from the magnifier before it's too late!,season_1,1,49,135
linda,now i know i have that club card in here somewhere. i always have it with me but my purse is a disaster area you know how it is.,season_1,1,50,137
candace,oh oh oh oh oh! mom? mom!? ,season_1,1,51,139
doofenshmirtz,it's no use it's no use we are doomed!,season_1,1,52,141
doofenshmirtz,you did it! you saved us perry the platypus! curse you perry the platypus!,season_1,1,53,143
candace,look look look see?,season_1,1,55,146
linda,okay i give up what am i supposed to be looking at?,season_1,1,55,147
candace,no!! it's not possible!!!,season_1,1,55,148
linda,i'm gonna go get the cart.,season_1,1,55,149
candace,it was right here and it was huge!!! mom!,season_1,1,55,150
linda,time to go. i've got frozens.,season_1,1,55,151
candace,okay so you think that phineas and ferb are still under that stupid tree in the backyard right?,season_1,1,55,152
linda,well yes that would be my guess.,season_1,1,55,153
candace,fine then lets go home. now! ,season_1,1,55,154
phineas,oh there you are perry.,season_1,1,56,156
phineas,nice hat isabella.,season_1,1,57,158
phineas,funny i don't remember this in the blueprints.,season_1,1,59,161
phineas,and i'm sure this is new.,season_1,1,60,163
candace,hehehehehehehehehehe!,season_1,1,61,165
linda,i worry about you sometimes candace.,season_1,1,61,166
employee,welcome to mr. slushy burger may i take your order?,season_1,1,62,168
phineas,anyone want fries?,season_1,1,62,169
french man,croissant?,season_1,1,63,171
phineas,anyone want a... quasson?,season_1,1,63,172
phineas,you know if that thing crashes into earth candace is in charge.,season_1,1,65,176
phineas,we should have charged more.,season_1,1,66,178
linda,okay we're here are you happy now candace?,season_1,1,67,180
candace,yes. see mom i told you they weren't there!,season_1,1,68,182
linda,oh hi boys.,season_1,1,69,184
phineas,hi mom.,season_1,1,70,186
linda,come on candace help me with the groceries. ,season_1,1,70,187
candace,but but but but but but but... ,season_1,1,70,188
linda,,season_1,1,70,189
kid,hey phineas that was great.,season_1,1,71,191
pedro,way too cool.,season_1,1,71,192
third kid,that was awesome! can we do it again?,season_1,1,71,193
phineas,sorry only one ride per customer.,season_1,1,71,194
isabella,that was great phineas. so what are you gonna do tomorrow?,season_1,1,72,196
phineas,don't know yet.,season_1,1,72,197
isabella,maybe you could teach perry some tricks.,season_1,1,72,198
phineas,well he is a platypus they don't do much.,season_1,1,72,199
ferb,they're the only mammals to lay eggs.,season_1,1,72,200
phineas,...maybe he'll lay an egg.,season_1,1,72,201
isabella,cool see you tomorrow. it really was the coolest coaster ever. you guys makes a great team.,season_1,1,72,202
phineas,well a brother is a brother but i couldn't have asked for a better one than ferb. you know what i mean?,season_1,1,72,203
phineas,oh-ho-ho man! i could smell the peanut butter!,season_1,1,73,205
isabella,well that was impressive. see you guys. ,season_1,1,73,206
phineas,so what should we do tomorrow? there's a world of possibilities. maybe we should make a list!,season_1,1,73,207
candace,mom!!,season_1,1,74,209
linda,give it a rest candace!,season_1,1,74,210
stanky dog,this is stanky dog comin' to you on the hottest of the summer! unless you live at the beach i say take it easy and do nothin' today. yup just find yourself a shady tree and maybe an aquatic mammal of some sort and blow the whole day off.,season_1,2,1,1
phineas,come on ferb. if we let a little heat stop us from having the best day ever then the morning djs win.,season_1,2,1,2
linda,ooh boy it's hot today! so what are you up to?,season_1,2,1,3
phineas,we're making our own beach right here in the backyard.,season_1,2,1,4
linda,,season_1,2,1,5
candace,bye mom! yes! you heard her. we can't bug dad which makes me in charge... by default. carry on.,season_1,2,1,6
phineas,we're gonna need more sand. hey where's perry?,season_1,2,1,7
major monogram,good morning agent p. lawn gnomes across the tri-state area are disappearing leaving thousands of gardens unprotected from the evils of black magic. we suspect doofenshmirtz. get right on it.,season_1,2,2,9
contractor,aren't you a little young to be a landscape contractor?,season_1,2,3,11
phineas,yes yes i am.,season_1,2,3,12
isabella,,season_1,2,3,13
phineas,oh hey isabella.,season_1,2,3,14
isabella,whatcha doin'?,season_1,2,3,15
phineas,building a beach. check it out.,season_1,2,3,16
isabella,can me and the fireside girls be lifeguards? we need to earn our aquatic-safety badges.,season_1,2,4,18
phineas,sure.,season_1,2,4,19
candace,i mean i've been a friend of suzy's longer than katie so i should've been invited to that party first. i don't care if they're lab partners! we're locker neighbors. and locker neighbors trumps lab partners any day. sorry stacy. gotta go.,season_1,2,4,20
phineas,welcome to our beach.,season_1,2,4,21
candace,hah! you call that a beach? this is way below your usual standard. this isn't even worth a call to mom. you know if you guys ever want to be popular you're gonna have to stop playing in sandboxes. hey!,season_1,2,4,22
phineas,so candace what do you think?,season_1,2,4,23
candace,that's it! i'm calling mom. ,season_1,2,4,24
stacy,hey candace.,season_1,2,4,25
candace,jenny? stacy?,season_1,2,4,26
jenny,you never told us you have a beach in your backyard!,season_1,2,4,27
stacy,you're going to be the most popular girl in the neighborhood.,season_1,2,4,28
candace,i will?,season_1,2,4,29
stacy,i just saw jeremy and his buddies with their surf boards.,season_1,2,4,30
candace,jeremy's here? ,season_1,2,4,31
doofenshmirtz,hmm maybe i need to turn the cable on first?,season_1,2,5,34
phineas,let's get this beach party started!,season_1,2,6,36
phineas,hey look! i can see our house from up here!,season_1,2,7,42
candace,,season_1,2,7,43
crowd,how low can you go? how low can you go?,season_1,2,7,44
dancer,look! so that's how low you can go. we've been asking that question for generations!,season_1,2,7,45
candace,what? what's everybody looking at?,season_1,2,7,46
dancer,for winning the limbo contest you are now officially crowned queen wahini of the beach! all hail queen wahini!,season_1,2,7,47
candace,i can't believe it!,season_1,2,7,48
candace,i've never been happier in my entire life!,season_1,2,8,68
linda,something is very wrong. not a single call from candace. not even a text message. oga hose me down. i'm going home.,season_1,2,9,70
doofenshmirtz,okay i think i finally got the right one. now perry the platypus ,season_1,2,10,72
doofenshmirtz,back in gimmelshtump in the days of my youth the doofenshmirtzs' were a proud family. but those were lean times for my father and our beloved lawn gnome was repossessed. who would protect our zatzenfruit garden from those witches spells and wood trolls? from a tender age my father decided that it would be me.,season_1,2,11,74
mr. doofenshmirtz,bewege dich nicht! ,season_1,2,11,75
doofenshmirtz,while the other children played kick-the-schtumpel and eat doonkelberries i would stand for hours.,season_1,2,11,76
mr. doofenshmirtz,bewege dich nicht!,season_1,2,11,77
doofenshmirtz,all through the cold night as the spitzenhounds howled my only companion was the moon. and my neighbor kenny.,season_1,2,11,78
mr. doofenshmirtz,bewege dich nicht!,season_1,2,11,79
doofenshmirtz,and since my lawn gnome was taken away from me i will destroy every lawn gnome in the entire tri-state area! behold the destruct-inator! and now perry the platypus to activate my creation! noooo!,season_1,2,11,80
stanky dog,surf contest!,season_1,2,12,82
buford,out of my way dinner-bell.,season_1,2,12,83
phineas,hello buford. perhaps you missed the sign.,season_1,2,12,84
buford,no bullying no yodeling?,season_1,2,12,85
man,i don't like this any more than you do.,season_1,2,12,86
stanky dog,first up in the surf contest is bobby nelson. oh! and nelson eats it on five-footer! and there's django brown shooting the curl and here comes buford van stomm! ohh! he pummels brown with a philadelphia traffic stomp! and now he's got him in a half-nelson now a full-nelson oh! and now he's actually beating him with bobby nelson! here's the scores from our judges. and buford doesn't like it one bit. oh those kids today and their holographic projections. he's in the pipeline now he's hangin' ten! he's hanging twenty! he's hangin' thirty-two! now he's just hangin'! the crowd loves it! i don't think there's a name for that! the crowd is doing the wave and phineas is surfing it! let's go to the judges.10 to the 5th power infinity and oh! it seems phineas flynn's radical surfing has made judge #3 re-think einstein's theory of relativity! cowabunga laws of nature!,season_1,2,12,87
candace,so are you having fun?,season_1,2,13,89
candace,eee... hellooooo?,season_1,2,16,97
linda,uh candace? is everything okay?,season_1,2,17,99
candace,ohh everything is just wonderful...,season_1,2,18,101
linda,and...phineas and ferb? what are they doing?,season_1,2,19,103
candace,ohh such wonderful things...,season_1,2,20,105
linda,candace honey i'm coming home.,season_1,2,21,107
candace,wait what?,season_1,2,22,109
linda,i'm right around the corner; i'll be there in two minutes.,season_1,2,22,110
candace,wait! no mom you can't! mom mom pleeaaasee mom! go away! don't come in!,season_1,2,22,111
isabella,is that a volcano?,season_1,2,23,113
stanky dog,gnooooomes!!! oof!,season_1,2,24,115
man,run for your lives!! it's gnome-ageddon!!!,season_1,2,24,116
man #2,who's protecting our gardens?!!,season_1,2,24,117
linda,candace tell me the truth. what is going on here?,season_1,2,25,119
candace,phineas and ferb built a beach in the backyard just like they said they were going to. but instead of just a cute little beach in a sandbox; it turned out to be this absolutely huge beach with a coastline and palm trees and a pier and hula dancers and water skiers and tiki huts and dolphins and dancing and surfing and everybody from the neighborhood showed up-,season_1,2,25,120
doofenshmirtz,oof!,season_1,2,26,122
candace,...and then i was just about to share a smoothie with jeremy when a coconut dropped on my head and ...and just for a moment it seemed that the wily buford would steal away the coveted surfing trophy from under the noses of our heroes...then i can only continue my benign reign and spread love happiness and ultimate popularity throughout my kingdom! if you would just let me have my moment!,season_1,2,26,123
phineas,oh there you are perry.,season_1,2,26,124
phineas,well everybody looks like that's all for today!,season_1,2,27,126
crowd,phineas and ferb! ,season_1,2,27,127
candace,if you don't believe me go see for yourself.,season_1,2,27,128
phineas,that was great.,season_1,2,28,130
linda,hey boys.,season_1,2,28,131
phineas,hey mom.,season_1,2,28,132
linda,so how was your day at the beach?,season_1,2,28,133
candace,wait wait my kingdom...my jeremy...it was all so beautiful...! ,season_1,2,28,134
linda,candace honey i think it's time to get you out of the sun for a little while. ,season_1,2,28,135
phineas,i think she had fun.,season_1,2,28,136
stanky dog,stanky dog here with a special shout-out to my two new pals phineas and ferb for hosting a beach party that was hot hot hot. and speaking of hot slather on the sunscreen listeners cause tomorrow's weather calls for another scorcher.,season_1,2,30,141
ferb,with a slight chance of scattered lawn gnomes.,season_1,2,30,142
phil,oh boy! did that kid stink or what? but maybe you've got what it takes to be: the next...super...american...pop teen...idol star! auditions open today at the googolplex mall in beautiful downtown danville.,season_1,3,1,2
candace,auditions! today?!,season_1,3,2,4
announcer,yes today! at two o'clock sharp.,season_1,3,2,5
candace,,season_1,3,2,6
phineas,that pop star stuff might be fun at first but then you'd be stuck with a dead end job. too bad you can't just do it once and move on.,season_1,3,2,7
linda,well what you're talking about is a one-hit wonder.,season_1,3,2,8
phineas,one-hit wonder? what's that?,season_1,3,2,9
linda,well a musical act goes to the top of the charts with a catchy tune and meaningless lyrics.,season_1,3,2,10
singers and lindana,fun fun fun!,season_1,3,3,20
linda,not that i would know anything about that.,season_1,3,4,22
phineas,ferb i know what we're gonna do today.,season_1,3,4,23
candace,but stacy what am i going to sing?,season_1,3,6,26
stacy,hello what are you gonna wear?,season_1,3,6,27
candace,hmmm...,season_1,3,6,28
candace,what do you think?,season_1,3,7,30
stacy,too much. where'd you get that?,season_1,3,7,31
candace,my mom's closet. you like it?,season_1,3,8,33
stacy,nah too retro.,season_1,3,8,34
stacy,perfect!,season_1,3,9,36
candace,nice huh?,season_1,3,9,37
stacy,yeah you should've tried that on first.,season_1,3,9,38
candace,let's go!,season_1,3,9,39
phineas,chika chika choo...wah. meaningless lyrics done. how's the catchy tune coming along?,season_1,3,10,41
phineas,excellent! we'll be done by lunch! hey where'd perry go?,season_1,3,11,43
major monogram,hello? hello-oo? anybody there?,season_1,3,12,45
linda,we'll meet back in the entrance in an hour.,season_1,3,15,51
candace,come on stacy! we gotta hurry so we could get a spot in li -- yayaya. i've never sang in front of so many people!,season_1,3,15,52
stacy,uh candace? ,season_1,3,15,53
candace,i can't do this.,season_1,3,15,54
stacy,oh yes you can! you're not a quitter; you're a fighter!,season_1,3,15,55
candace,i am?,season_1,3,15,56
stacy,sure you are! you're a lean mean singing machine!,season_1,3,15,57
jeremy,hey candace.,season_1,3,17,61
candace,and that is what a gorilla looks like when you try to take away its food. oh! hi jeremy! are you auditioning too?,season_1,3,17,62
jeremy,nah. i came to see this hot new band called pft. i downloaded their song this morning. it's tight! the hundredth contestant gets to sing onstage with the band!,season_1,3,17,63
candace,really? ,season_1,3,17,64
jeremy,hey looks like that's you.,season_1,3,17,65
phil,congratulations! you're the hundredth contestant! ,season_1,3,17,66
phil,ladies and gentlemen this young lady has the honor of singing onstage with pft. so now the band you've been waiting for: phineas and the ferb-tones!,season_1,3,18,68
candace,phineas?!,season_1,3,19,70
phineas,candace? you're the hundredth contestant? how serendipitous. this'll be like a brother and sister thing! now i'm assuming you've heard our hit single. i mean who hasn't right? it's a big hit. so here's the words; don't worry if you get lost. the lyrics are meaningless anyway. i'll point when it's your turn.,season_1,3,19,71
phineas,ladies and gentlemen the ferbettes! i'm phineas and this is ferb and we're gonna sing a song!,season_1,3,20,73
ferbettes,never gonna stop!,season_1,3,21,80
candace,wait a minute! what are you doing?,season_1,3,22,91
phineas,i'm cuing you?,season_1,3,22,92
candace,how'd you get a hit single?!,season_1,3,22,93
phineas,well it wasn't easy. it took most of the morning and half a dozen phone calls. but if you're willing to put in the work-,season_1,3,22,94
candace,that's it! i'm gonna tell mom!,season_1,3,22,95
phineas,okay...tell her what?,season_1,3,22,96
candace,ooh i'm just gonna tell.,season_1,3,22,97
candace,mom! mom! mom! mom you've gotta see this!,season_1,3,24,101
linda,wooah!,season_1,3,24,102
candace,come on come on come on!,season_1,3,24,103
ben baxter,hi i'm ben baxter huge-o-records. why don't you come by my office in an hour and we can talk about your future.,season_1,3,25,105
phineas,future? cool. he must be a psychic.,season_1,3,25,106
candace,come on come on come on! see?! there they are onstage!!!,season_1,3,26,108
announcer,ladies and gentlemen once again... marty the rabbit boy and his musical blender!,season_1,3,26,109
linda,hon we're getting you an eye exam. ,season_1,3,27,111
candace,no no! wait!,season_1,3,27,112
doofenshmirtz,ha ha everything is ready!,season_1,3,27,115
candace,ugh! i told mom i don't need glasses! what the --,season_1,3,28,118
candace,uh no! no! wait! uggggg...,season_1,3,29,120
candace,mmmmmoooom?!?,season_1,3,30,122
doofenshmirtz,sorry perry the platypus but you are too late! ,season_1,3,30,124
linda,ooh this one's nice.,season_1,3,31,126
candace,mom! come here! you've gotta see this! ,season_1,3,31,127
linda,candace! i haven't payed for this yet!,season_1,3,31,128
guard,hey!,season_1,3,31,129
doofenshmirtz,ha ha ha! when it comes to havoc nobody wreaks like me!hey hey no fair!,season_1,3,32,131
isabella,wow what a great painting! how did you get permission for that?,season_1,3,34,134
phineas,oh they didn't mind. the building's scheduled for demolition.,season_1,3,34,135
candace,seeeeeee??!!,season_1,3,35,137
candace,aaaahhhh!!,season_1,3,36,139
guard,uh ma'am you're gonna have to come back and pay for that.,season_1,3,36,140
linda,yes of course officer.,season_1,3,36,141
candace,aaaahhhh!!,season_1,3,36,142
guard,hey weren't you lindana?,season_1,3,36,143
linda,yes i was! i can't believe you recognized me.,season_1,3,36,144
guard,well i was a huge fan. you still have to pay for the jacket.,season_1,3,36,145
linda,i know.,season_1,3,36,146
doofenshmirtz,very clever perry the platypus. i tried to ignore you but you forced my hand.,season_1,3,36,147
ben,...in the phineas and the ferb-tones business. and by the way aren't you a little young to be pop stars?,season_1,3,38,152
phineas,...no.,season_1,3,39,154
ben,well okay then! we prepared to offer you a very lucrative contract if you'll just sign exclusively with us for your follow-up single.,season_1,3,40,156
phineas,good day to you sir!,season_1,3,40,157
phineas,diva tantrum check. elevator music check.,season_1,3,41,159
ben,ah who needs 'em? we still got this video tape of their performance. we could do live cds dvds pod-casts heck we can digitally re-create their images to make our own sitcom! the phineas and ferb show! we could squeeze twenty years of entertainment out of this one video tape.,season_1,3,42,161
manager,that giant robot's coming right at us!,season_1,3,42,162
doofenshmirtz,it will take more than condiments to foil my brilliant plan!,season_1,3,42,163
ben,the tape!,season_1,3,43,165
doofenshmirtz,aaaahhh!,season_1,3,43,166
doofenshmirtz,aaaaaaaahhhhh!!! curse you perry the platypus!,season_1,3,44,168
phineas,oh there you are perry. come on guys. we still have one thing left to do.,season_1,3,45,170
phil,and the winner of the day's next super american pop teen idol star is... marty the rabbit boy and his musical blender! oh give him a hand! he's going to hollywood!,season_1,3,46,172
jeremy,hey candace. what's wrong?,season_1,3,47,174
candace,i'm better than that guy. oh i should've taken blender lessons.,season_1,3,47,175
jeremy,so why did you run off earlier?,season_1,3,47,176
candace,my brothers. they always ruin everything.,season_1,3,47,177
jeremy,well you like to sing right?,season_1,3,47,178
candace,yeah.,season_1,3,47,179
jeremy,then you shouldn't let your brothers' fun ruin your good time. you know if you get a chance to sing you oughta sing. i gotta go i'll see you later. ,season_1,3,47,180
phineas,you're still the hundredth contestant wanna come up and help us out?,season_1,3,48,182
candace,that was great! i've been thinking of my brothers all wrong! they're not a nuisance. they're my ticket to-,season_1,3,51,203
phineas,thanks you've been great! this is the last time we're ever gonna sing that song. we're retiring good night!,season_1,3,51,204
mall operator,the mall is now closed and will re-open at 9:00 a.m. tomorrow. thank you for shopping with us.,season_1,3,52,206
phineas,so ferb what should we do today? i mean besides giving perry a bath.,season_1,4,1,1
phineas,what is that wonderful noise?,season_1,4,2,3
candace,oh i have got to take a new picture of myself for my blog. i didn't realize mine is already a week old. that's better.,season_1,4,4,7
candace,what are you doing to mom's car?!,season_1,4,5,9
phineas,we tricked it out!,season_1,4,5,10
candace,you don't even know how to drive.,season_1,4,5,11
phineas,well duh. that's why ferb built this remote.,season_1,4,5,12
candace,oh you are so busted.,season_1,4,6,14
candace,,season_1,4,7,16
phineas,she's playing bridge at mrs. garcia-shapiro's!,season_1,4,7,17
candace,heh they won't get away with it this time!,season_1,4,9,20
vivian,oh candace dear. bubela how good to see you. what a coincidence. do you know your mom is here?,season_1,4,10,22
candace,mmm-mmm. yeah i do mrs. garcia-shapiro. i need to talk to her if you don't mind.,season_1,4,10,23
vivian,oy-vey. look how tall you are now. you must've grown a couple of inches since the last time i've saw you.,season_1,4,10,24
candace,that was last week mrs. garcia-shapiro.,season_1,4,10,25
vivian,well your mom's inside dear. where are your braces? i thought you were wearing braces.,season_1,4,10,26
candace,yeah. mom! mom! mom! ,season_1,4,10,27
linda,what is it candace?,season_1,4,11,29
candace,oh you have got to see what phineas and ferb are doing!,season_1,4,11,30
phineas,hey ferb. what's the red button for?,season_1,4,13,33
candace,moooooooom!,season_1,4,14,35
linda,what is it? what do you want me to see?,season_1,4,15,37
candace,quick!,season_1,4,15,38
phineas,hi mom!,season_1,4,15,39
linda,hi boys! well if that's all i'll just be getting back to the game.,season_1,4,15,40
phineas,good thing we've beefed up the suspension.,season_1,4,16,42
phineas,woah! what else can it do?,season_1,4,17,44
isabella,hi phineas.,season_1,4,17,45
phineas,oh hi isabella.,season_1,4,17,46
isabella,what'cha doin'?,season_1,4,17,47
phineas,we're entering the swamp oil 500 today.,season_1,4,17,48
isabella,aren't you gonna need a pit crew?,season_1,4,17,49
phineas,do you know a pit crew?,season_1,4,17,50
isabella,well...i know a few people who work well together.,season_1,4,17,51
phineas,great! you're hired! see you at the track. hey ferb where's perry?,season_1,4,17,52
major monogram,good morning agent p. the evil dr. doofenshmirtz is up to his old tricks. for reasons completely unknown he's purchased a giant airship or blimp as the kids say. your mission is to find out why and if necessary put a stop to it.,season_1,4,19,55
isabella,hi phineas. i got your pit crew.,season_1,4,21,60
phineas,cool! see ya in the pits.,season_1,4,22,62
isabella,okay girls. we're dealing with a 426 cubic inch fully-blown v8 with hypo lifters radical cam and a limited slip differential.,season_1,4,22,63
gretchen,would that be electronically fuel-injected?,season_1,4,22,64
candace,phineas?! phineas! phin-e-as!,season_1,4,22,65
man,hey! i can't hear the cars!,season_1,4,22,66
jeremy,hey candace! i didn't know you were a racing fan!,season_1,4,22,67
candace,jeremy. who me? oh yeah! yeah i'm a big fan of those uh uh...that red one is cute!,season_1,4,22,68
jeremy,oh that's billy ray digler's car. he's great.,season_1,4,22,69
candace,yeah he's the best. that billy roy.,season_1,4,22,70
jeremy,billy ray.,season_1,4,22,71
candace,billy ray. i-i love it when he turns left... and then he turns... left again and then-,season_1,4,22,72
dave,and in the 3rd lane the newcomers team phineas! now is it just me or does he look a little young to be behind the wheel of a 700 horse power racing machine?,season_1,4,22,73
rick,yes. yes he does.,season_1,4,22,74
dave,and look he's already got his own screaming fans!,season_1,4,22,75
candace,phineas!,season_1,4,22,76
phineas,hey candace is rooting for us!,season_1,4,22,77
jeremy,candace you're on the big screen!,season_1,4,22,78
candace,phineas!,season_1,4,22,79
jeremy,and your little brother's gonna be on tv!,season_1,4,22,80
candace,phineas--? ,season_1,4,22,81
linda,what is it candace? i'm right in the middle of a 3-no trump.,season_1,4,23,83
candace,turn on the tv!,season_1,4,23,84
linda,all right. all right candace. this better be good.,season_1,4,23,85
candace,well? well? do you see it?,season_1,4,24,87
linda,just a second honey.,season_1,4,24,88
vivian,turn on the cable box first.,season_1,4,24,89
linda,hmm. all right. wait. 'kay that's not it. um is it this one? no this is another phone.,season_1,4,24,90
candace,mom hurry up!,season_1,4,24,93
linda,okay just a second! ,season_1,4,24,94
tv narrator,are you embarrassed about flaking? itching? peeling?,season_1,4,24,95
linda,candace this is a dandruff commercial. is there something you're trying to tell me?,season_1,4,24,96
phineas,okay ferb. are we good to go?,season_1,4,25,98
rick,and with the race about to start there's the doofenshmirtz evil incorporated blimp!,season_1,4,26,100
doofenshmirtz,ah perry the platypus. i'm glad you're here. actually i was just getting ready to serve some platypus under glass! you're just in time to witness my latest invention...my deflate-inator ray! which i will demonstrate by deflating the tires of the jefferson county motor speedway! after which i will deflate everything in the tri-state area! that way if anyone want's anything flated they will have to talk to me.,season_1,4,26,102
